Date,temp,Q
2016-01-01,-17.782120899999775,4.33698857736241
2016-01-02,-22.04301230000029,4.431428571428571
2016-01-03,-20.775433459999757,4.602986611740467
2016-01-04,-22.581462620000483,4.614958419958416
2016-01-05,-20.16375827999975,4.61295643153527
2016-01-06,-15.611216620000048,4.684753086419751
2016-01-07,-16.663137519999864,4.595347368421052
2016-01-08,-16.328012509999578,4.5698526315789465
2016-01-09,-18.300037619999813,4.500147679324896
2016-01-10,-22.45694581999985,4.571381509032947
2016-01-11,-19.161929210000277,4.602878953107957
2016-01-12,-14.622694490000338,4.472148070907198
2016-01-13,-7.930418312999853,4.184130901287558
2016-01-14,-8.516877889999902,3.8882114735658053
2016-01-15,-10.127290049999988,3.934951245937157
2016-01-16,-17.130191640000266,4.045884244372989
2016-01-17,-24.860374850000024,4.330383795309165
2016-01-18,-24.27967087000039,4.658781014023732
2016-01-19,-24.473041770000165,4.860866935483864
2016-01-20,-25.16064158999965,5.078120078740158
2016-01-21,-19.525699810000035,5.137470355731231
2016-01-22,-14.218859910000363,4.829691358024695
2016-01-23,-14.349412479999959,4.5449248927038655
2016-01-24,-19.945662419999653,4.534341825902329
2016-01-25,-17.43741258000034,4.486109324758841
2016-01-26,-16.470687510000054,4.509171151776098
2016-01-27,-17.845837630000116,4.415591748099894
2016-01-28,-16.906112509999822,4.31931818181818
2016-01-29,-15.844200130000381,4.4027544247787604
2016-01-30,-19.00601244000029,4.32210355987055
2016-01-31,-14.136050029999863,4.35142857142857
2016-02-01,-9.23591206499991,4.17006802721088
2016-02-02,-8.338228325000074,3.8800696864111535
2016-02-03,-8.945144594000142,3.5909429569266558
2016-02-04,-9.480414212000095,3.4822809123649456
2016-02-05,-4.993365024999995,3.3393053892215567
2016-02-06,-2.11116293300001,3.202925659472421
2016-02-07,-3.0489317970000203,3.2380223880597008
2016-02-08,-2.0142249339999783,3.2396727272727266
2016-02-09,-8.606605033000045,3.315267080745342
2016-02-10,-13.19323337000006,3.460418160095577
2016-02-11,-13.974962469999847,3.745512082853859
2016-02-12,-11.488761700000216,3.8816666666666664
2016-02-13,-13.00410876999984,4.00074914869466
2016-02-14,-12.22104303000011,4.042831257078143
2016-02-15,-12.83285683000018,4.067541713014459
2016-02-16,-14.791465820000198,4.016548165137617
2016-02-17,-12.370483320000156,3.9175321637426923
2016-02-18,-12.293187459999912,3.7679286536248573
2016-02-19,-9.954829592999902,3.6341416566626648
2016-02-20,-7.5772299769999005,3.6117548076923076
2016-02-21,-11.601150929999967,3.5873855421686742
2016-02-22,-13.048510790000199,3.4744759556103606
2016-02-23,-8.025237937999933,3.413469135802471
2016-02-24,-8.473947942000185,3.3052841596130564
2016-02-25,-3.129709988999993,3.230270602706026
2016-02-26,-0.2509024219999975,3.070540540540542
2016-02-27,1.9088867129999723,3.0163381995133824
2016-02-28,1.2721097889999846,2.9566304347826073
2016-02-29,-2.732657110000013,2.9112469733656154
2016-03-01,-4.951038778000082,2.8658852867830413
2016-03-02,-7.215337573999947,2.83908872901678
2016-03-03,-6.454002877000045,2.8952123552123568
2016-03-04,-8.706302483999949,2.9942857142857138
2016-03-05,-12.225764250000069,3.216092384519348
2016-03-06,-13.177034140000051,3.4537313432835863
2016-03-07,-12.582312439999999,3.6074292742927425
2016-03-08,-9.021417523000103,3.770062111801239
2016-03-09,-8.401869872999898,3.620571791613725
2016-03-10,-8.571153337999945,3.3839843750000003
2016-03-11,-3.484120747999938,3.115840707964599
2016-03-12,-0.18427354700000131,2.939304347826089
2016-03-13,1.1101964509999855,2.894700748129677
2016-03-14,0.3741224499999977,2.739987714987715
2016-03-15,-6.014703790000028,2.6834183673469374
2016-03-16,-11.354968710000152,2.7694387755102063
2016-03-17,-3.941061884000047,2.8353410553410527
2016-03-18,-0.6476753310000052,2.730389447236184
2016-03-19,0.582158504000005,2.8171029224904705
2016-03-20,2.7176141089999506,2.848341902313629
2016-03-21,5.7966283860000045,2.7365721649484516
2016-03-22,1.2228155909999938,2.707772215269086
2016-03-23,-3.055220912000051,2.571737545565005
2016-03-24,-2.0155941190000157,2.52801234567901
2016-03-25,2.128135260999965,2.5450312891113893
2016-03-26,0.981113737999985,2.5142098765432093
2016-03-27,1.2252544980000193,2.562403486924036
2016-03-28,5.1802356540000645,2.536397984886652
2016-03-29,2.5320934159999657,2.4666542750929383
2016-03-30,2.877245400999985,2.446485788113694
2016-03-31,4.6559570079999535,2.5225123762376254
2016-04-01,4.86613652300002,2.478646616541355
2016-04-02,8.014070623000114,2.504712643678163
2016-04-03,8.110685368000071,2.46374683544304
2016-04-04,5.980707923999951,2.435929648241208
2016-04-05,6.588332454000009,2.449911949685533
2016-04-06,6.5246455830000905,2.414280205655528
2016-04-07,6.075342864000042,2.4317647058823537
2016-04-08,7.8714141749999404,2.3877382465057164
2016-04-09,5.718615339999914,2.4140129032258084
2016-04-10,3.434960404999995,2.3763286264441614
2016-04-11,3.0778661839999684,2.416020671834623
2016-04-12,4.259534159999958,2.4822827496757456
2016-04-13,0.59271183099999,2.5272309711286085
2016-04-14,2.0953920580000123,2.5482106598984773
2016-04-15,7.6252524669999415,2.4665261813537636
2016-04-16,15.63960817999991,2.433537859007832
2016-04-17,15.627591730000255,2.3911464968152885
2016-04-18,15.902725140000147,2.303325062034741
2016-04-19,16.963864130000218,2.281260815822
2016-04-20,8.574284201000136,2.3111125319693095
2016-04-21,14.223886330000191,2.2659040590405892
2016-04-22,14.065181730000242,2.1656860321384404
2016-04-23,12.576914530000058,2.150619684082626
2016-04-24,13.356311560000252,2.1267878077374
